Lat Lon Depth Vs
50.750191 284.249474 570.000000 5.303038
50.750191 284.249474 620.000000 5.388578
50.750191 284.249474 670.000000 5.472982
50.750191 284.499474 70.000000 4.610465
50.750191 284.499474 90.000000 4.553751
50.750191 284.499474 110.000000 4.533224
50.750191 284.499474 130.000000 4.511767
50.750191 284.499474 150.000000 4.502636
50.750191 284.499474 170.000000 4.501332
50.750191 284.499474 190.000000 4.500718
50.750191 284.499474 210.000000 4.500580
50.750191 284.499474 230.000000 4.538419
50.750191 284.499474 250.000000 4.568432
50.750191 284.499474 280.000000 4.613385
50.750191 284.499474 320.000000 4.672117
50.750191 284.499474 370.000000 4.743044
50.750191 284.499474 420.000000 4.812693
50.750191 284.499474 420.000000 5.048637
50.750191 284.499474 470.000000 5.130210
50.750191 284.499474 520.000000 5.216566
50.750191 284.499474 570.000000 5.303038
50.750191 284.499474 620.000000 5.388578
50.750191 284.499474 670.000000 5.472982
50.750191 284.749466 70.000000 4.610465
50.750191 284.749466 90.000000 4.553751
50.750191 284.749466 110.000000 4.533224
50.750191 284.749466 130.000000 4.511767
50.750191 284.749466 150.000000 4.502636
50.750191 284.749466 170.000000 4.501332
50.750191 284.749466 190.000000 4.500718
50.750191 284.749466 210.000000 4.500580
50.750191 284.749466 230.000000 4.538419
50.750191 284.749466 250.000000 4.568432
50.750191 284.749466 280.000000 4.613385
50.750191 284.749466 320.000000 4.672117
50.750191 284.749466 370.000000 4.743044
50.750191 284.749466 420.000000 4.812693
50.750191 284.749466 420.000000 5.048637
50.750191 284.749466 470.000000 5.130210
50.750191 284.749466 520.000000 5.216566
50.750191 284.749466 570.000000 5.303038
50.750191 284.749466 620.000000 5.388578
50.750191 284.749466 670.000000 5.472982
50.750191 284.999466 70.000000 4.610465
50.750191 284.999466 90.000000 4.553751
50.750191 284.999466 110.000000 4.533224
50.750191 284.999466 130.000000 4.511767
50.750191 284.999466 150.000000 4.502636
50.750191 284.999466 170.000000 4.501332
50.750191 284.999466 190.000000 4.500718
50.750191 284.999466 210.000000 4.500580
50.750191 284.999466 230.000000 4.538419
50.750191 284.999466 250.000000 4.568432
50.750191 284.999466 280.000000 4.613385
50.750191 284.999466 320.000000 4.672117
50.750191 284.999466 370.000000 4.743044
50.750191 284.999466 420.000000 4.812693
50.750191 284.999466 420.000000 5.048637
50.750191 284.999466 470.000000 5.130210
50.750191 284.999466 520.000000 5.216566
50.750191 284.999466 570.000000 5.303038
50.750191 284.999466 620.000000 5.388578
50.750191 284.999466 670.000000 5.472982
50.750191 285.249466 70.000000 4.610465
50.750191 285.249466 90.000000 4.553751
50.750191 285.249466 110.000000 4.533224
50.750191 285.249466 130.000000 4.511767
50.750191 285.249466 150.000000 4.502636
50.750191 285.249466 170.000000 4.501332
50.750191 285.249466 190.000000 4.500718
50.750191 285.249466 210.000000 4.500580
50.750191 285.249466 230.000000 4.538419
50.750191 285.249466 250.000000 4.568432
50.750191 285.249466 280.000000 4.613385
50.750191 285.249466 320.000000 4.672117
50.750191 285.249466 370.000000 4.743044
50.750191 285.249466 420.000000 4.812693
50.750191 285.249466 420.000000 5.048637
50.750191 285.249466 470.000000 5.130210
50.750191 285.249466 520.000000 5.216566
50.750191 285.249466 570.000000 5.303038
50.750191 285.249466 620.000000 5.388578
50.750191 285.249466 670.000000 5.472982
50.750191 285.499466 70.000000 4.610465
50.750191 285.499466 90.000000 4.553751
50.750191 285.499466 110.000000 4.533224
50.750191 285.499466 130.000000 4.511767
50.750191 285.499466 150.000000 4.502636
50.750191 285.499466 170.000000 4.501332
50.750191 285.499466 190.000000 4.500718
50.750191 285.499466 210.000000 4.500580
50.750191 285.499466 230.000000 4.538419
50.750191 285.499466 250.000000 4.568432
50.750191 285.499466 280.000000 4.613385
50.750191 285.499466 320.000000 4.672117
50.750191 285.499466 370.000000 4.743044
50.750191 285.499466 420.000000 4.812693
50.750191 285.499466 420.000000 5.048637
50.750191 285.499466 470.000000 5.130210
