#Network 	 Station 	 Latitude 	 Longitude 	 Elevation 
AK	WAT5	63.062401	-148.228607	1691
AK	WAT6	62.580799	-147.740005	1681
AK	WAT7	62.8331	-148.8476	1232
AK	WAX	60.448002	-142.852905	1003
AK	WRH	64.4716	-148.0918	329
AK	YAH	60.358299	-141.751007	2125
AT	AKUT	54.13517	-165.771851	19.2
AT	CHGN	56.301399	-158.414154	17
AT	CRAG	55.468941	-133.122971	57.9
AT	MENT	62.938049	-143.719421	702
AT	MID	59.427799	-146.338806	37
AT	OHAK	57.2225	-153.287506	77.5
AT	PMR	61.592201	-149.130798	100
AT	SDPT	55.3493	-160.476593	74
AT	SIT	57.0569	-135.324402	19
AT	SKAG	59.460098	-135.328964	134
AT	SVW2	61.1082	-155.621704	498.8
AT	TTA	62.930099	-156.011597	990
AT	YKU2	59.5121	-139.671036	10.1
AV	ACH	58.21	-155.3281	960
AV	AHB	54.1144	-165.8177	447
AV	AKBB	54.0975	-165.9338	310
AV	AKGG	54.1979	-165.9936	326
AV	AKHS	54.1533	-165.8868	553
AV	AKLV	54.1618	-165.9576	551
AV	AKMO	54.0903	-166.0126	277
AV	AKRB	54.1292	-166.0708	334
AV	AKS	54.1095	-165.6987	213
AV	AKSA	54.1095	-165.6987	213
AV	AKT	54.1349	-165.772	12
AV	AKV	54.1253	-165.9647	863
AV	ANCK	58.1981	-155.4961	869
AV	AU11	59.359	-153.4826	234
AV	AU12	59.3829	-153.4542	210
AV	AU13	59.3458	-153.4364	518
AV	AU14	59.3705	-153.3992	303
AV	AU15	59.3501	-153.4879	168
AV	AU22	59.3702	-153.3573	105
AV	AUCH	59.3626	-153.4447	916
AV	AUJA	59.3395	-153.4227	376
AV	AUJK	59.3493	-153.4106	377
AV	AUL	59.3816	-153.4379	360
AV	AULG	59.3773	-153.5193	18
AV	AUNO	59.4041	-153.4513	27
AV	AUQ	59.3549	-153.4143	647
AV	AUSB	59.333	-153.4284	230
AV	AUSS	59.3589	-153.4309	1235
AV	AUW	59.3694	-153.473	276
AV	AUWS	59.35851	-153.46115	465
AV	BOGO	53.9291	-168.0347	5
AV	BRPK	54.6446	-163.7428	393
AV	CAHL	58.0518	-155.3036	807
AV	DEER	54.97127	-162.32437	392.3
AV	DOL	55.1488	-161.8638	439
AV	DT1	55.1062	-162.2801	198
AV	DTN	55.1448	-162.259	396
AV	ILCB	59.82231	-153.02322	712
AV	ILLG	60.0689	-152.9606	968
AV	ILNE	60.0573	-153.06354	1684.3
AV	ILS	59.957	-153.0703	1125
AV	ILSW	59.9832	-153.1425	1318
AV	ILW	60.0592	-153.1392	1646
AV	ISLZ	54.7249	-163.7129	634
AV	ISNN	54.8314	-163.7804	466
AV	IVE	60.0163	-153.0185	1211.9
AV	KAB2	58.13116	-154.97616	908
AV	KABU	58.2702	-155.2843	1065
AV	KAHG	58.4933	-154.5484	923
AV	KAKN	58.2963	-155.0632	1049
AV	KAPH	58.5961	-154.3489	907
AV	KARR	58.4971	-154.7054	610
AV	KAVE	58.19782	-155.02341	702
AV	KAWH	58.383	-154.8013	777
AV	KBM	58.2743	-155.2038	732
AV	KEL	58.4393	-155.7428	975
AV	KJL	58.0533	-155.5753	792
AV	KVT	58.381	-155.2971	457
AV	LVA	54.16	-166.0358	457
AV	MAPS	53.8082	-166.9407	333
AV	MCIR	53.9505	-166.8942	800
AV	MGLS	58.1336	-155.1629	472
AV	MGOD	53.7938	-166.878	650
AV	MNAT	53.8829	-166.6856	390
AV	MSW	53.9148	-166.788	423
AV	MTBL	53.968	-166.6813	810
AV	N20K	61.2001	-152.2089	991
AV	N25K	61.6061	-144.5982	1087
AV	NCT	60.5621	-152.9293	1136
AV	OKAK	53.4113	-168.36	165
AV	OKBR	53.41915	-168.07471	452
AV	OKCB	53.4559	-168.1257	404
AV	OKCD	53.4293	-168.1143	459
AV	OKCE	53.4261	-168.16629	516
AV	OKCF	53.3948	-168.1382	685
AV	OKFG	53.41078	-167.91141	196
AV	OKNC	53.4559	-168.12553	404
AV	OKNO	53.52769	-168.09396	460.9
AV	OKSO	53.3565	-168.1619	460
AV	OKTU	53.3829	-168.0431	646
AV	OKWE	53.4711	-168.2418	445
AV	P18K	59.3922	-155.2292	680
AV	P19K	59.6524	-153.2319	629
AV	PLBL	57.6991	-156.821	461
AV	PLK1	57.8012	-156.6093	78
AV	PLK2	57.7634	-156.3264	401
AV	PLK3	57.688	-156.2695	494
AV	PLK5	57.997	-156.88	49
AV	PN7A	55.4329	-161.9973	838
AV	PS1A	55.4201	-161.7437	283
AV	PS4A	55.346	-161.8567	322
AV	Q17K	58.2637	-155.8865	1165
AV	Q18K	58.6484	-155.0086	1250
